filename,size_bytes,sha256
2020Q3-house-disburse-detail.csv,16576117,65e522d19d9d3929ebad06bf7c76d46489ba6f12a1a0203d82ade32e3bb7e02b
2020Q4-house-disburse-detail.csv,16329119,0e9479da8c7a4be3770c29dd22d52c59bee874694e44392f4bce390b73cc9ace
2021Q1-house-disburse-detail.csv,19764020,3c4d8f3648d0c3655e6bce353069b0c8ce3cf40a3eb59f09fab9bae8b04aac8e
2021Q2-house-disburse-detail.csv,18509988,d4690b3f9d7434bdde9304b3eb6cbd44ecc32695f8a4decfefa86b8276cf429a
2021Q3-house-disburse-detail.csv,19422594,2e75979ee43655d06465c944a8c4c2a777408246cc80f240e0da503efc50b680
2021Q4-house-disburse-detail.csv,19802837,a57bc8aa06145732b3bf651643248366fcd3ec560b9f3db5013b93545bc3727b
2022Q1-house-disburse-detail.csv,22544668,01c180208ca022baa2ca02cdf89541e06566b2274377bf86a04df7ab9e05317e
2022Q2-house-disburse-detail.csv,21895022,93a8fad55b0a98386eb57af95824ac847b76c3d93a99cc9c21b433310b69df60
2022Q3-house-disburse-detail.csv,23277730,f92ac8e06b977badc68f211e849483c708caaf001a936d46c2aea37faa1bb519
2022Q4-house-disburse-detail.csv,24016600,ef4784122963ed8b5925a63ffe0737eca9dfc0673ecfef9fc61daec4c4ce038d
2023Q1-house-disburse-detail only.csv,25135318,618b71d74c6df6c2323bc554cd90c33920a16a7708aa333dba745380a3597a3d
2023Q2-house-disburse-detail only.csv,24372019,4032ccdbaf3f28899254b3e15e68e39dc50b213091ef8770c2c5583213fad19e
2023Q3-house-disburse-detail only.csv,25132485,4c1e5eaa039e3553eb0bf87ff2c14f1324bb372c6229c85c6a4b0e321d1377b9
2023Q4-house-disburse-detail only.csv,23410979,ff0ae081ab66c556b15a1ee7b7762704c51692740f70da1b37c178a44aed5adc
2024Q1-house-disburse-detail only.csv,27329245,0818d7f58807de2b30434598a9867eaf4e27e5a6559a010e629df40b8cc23866
2024Q2-house-disburse-detail only.csv,24585829,24e9d1123814f262e31eafa565401a3f27d66e5a967cd1e3cb421c6695cc50b3
2024Q3-house-disburse-detail only.csv,23793717,00beae701f64d23e212dad58068c0702ab588969c9a44ea7cbb51a5fb32296c1
2024Q4-house-disburse-detail only.csv,24369135,66d37b4236c328babcc7a6b8fc79c80771896b97107de13721c8f9e4f279cd5c
2025Q1-house-disburse-details only.xlsx,12056134,3cbc2a0e27b1ff76e96062c19860cf8abe3be5081ecd8ad46ce454a95afd4528
2025Q2-house-disburse-details only.xlsx,11145402,3d97d6805697239e96fc82e853bb92c8de4f03593eb0a8a891daa5f5fc1d5e8e
